close,date,high,instrument,low,open,open_intl,volume
94.560,2018-05-02 09:16:00,94.560,T1812.CFE,94.560,94.560,51.000,0.000
97.670,2018-05-02 09:16:00,97.700,TF1809.CFE,97.630,97.630,1411.000,4.000
94.560,2018-05-02 09:16:00,94.600,T1806.CFE,94.535,94.590,41185.000,666.000
94.560,2018-05-02 09:16:00,94.560,T1809.CFE,94.555,94.555,4456.000,2.000
97.730,2018-05-02 09:16:00,97.755,TF1806.CFE,97.670,97.670,17830.000,175.000
98.045,2018-05-02 09:16:00,98.045,TF1812.CFE,98.045,98.045,25.000,0.000
98.045,2018-05-02 09:17:00,98.045,TF1812.CFE,98.045,98.045,25.000,0.000
97.670,2018-05-02 09:17:00,97.670,TF1809.CFE,97.670,97.670,1410.000,1.000
94.570,2018-05-02 09:17:00,94.585,T1809.CFE,94.550,94.550,4455.000,6.000
94.560,2018-05-02 09:17:00,94.560,T1812.CFE,94.560,94.560,51.000,0.000
94.575,2018-05-02 09:17:00,94.610,T1806.CFE,94.555,94.555,41283.000,433.000
97.740,2018-05-02 09:17:00,97.750,TF1806.CFE,97.725,97.730,17815.000,83.000
94.410,2018-05-02 14:59:00,94.410,T1812.CFE,94.410,94.410,52.000,0.000
2650.800,2018-05-02 14:59:00,2652.200,IH1806.CFE,2650.400,2651.400,6887.000,32.000
5601.600,2018-05-02 14:59:00,5601.600,IC1812.CFE,5601.600,5601.600,290.000,1.000
3712.000,2018-05-02 14:59:00,3712.000,IF1809.CFE,3711.000,3711.000,4232.000,2.000
94.400,2018-05-02 14:59:00,94.400,T1809.CFE,94.400,94.400,5229.000,0.000
3744.400,2018-05-02 14:59:00,3745.000,IF1806.CFE,3743.800,3744.200,13876.000,9.000
5785.600,2018-05-02 14:59:00,5786.600,IC1806.CFE,5783.200,5784.400,12439.000,5.000
97.525,2018-05-02 15:00:00,97.545,TF1809.CFE,97.525,97.545,1611.000,10.000
2659.600,2018-05-02 15:00:00,2661.400,IH1805.CFE,2659.200,2660.800,14837.000,155.000
98.045,2018-05-02 15:00:00,98.045,TF1812.CFE,98.045,98.045,25.000,0.000
5681.600,2018-05-02 15:00:00,5681.600,IC1809.CFE,5681.600,5681.600,4787.000,0.000
94.410,2018-05-02 15:00:00,94.410,T1812.CFE,94.410,94.410,52.000,0.000
3699.000,2018-05-02 15:00:00,3699.000,IF1812.CFE,3698.000,3698.000,400.000,2.000
3712.600,2018-05-02 15:00:00,3712.800,IF1809.CFE,3712.000,3712.200,4235.000,4.000
94.390,2018-05-02 15:00:00,94.390,T1809.CFE,94.390,94.390,5228.000,1.000
5595.000,2018-05-02 15:00:00,5595.000,IC1812.CFE,5595.000,5595.000,291.000,1.000
2631.400,2018-05-02 15:00:00,2631.400,IH1809.CFE,2631.400,2631.400,3156.000,0.000
3744.200,2018-05-02 15:00:00,3744.800,IF1806.CFE,3743.600,3744.600,13880.000,19.000
2650.400,2018-05-02 15:00:00,2651.800,IH1806.CFE,2650.400,2650.800,6889.000,20.000
5786.800,2018-05-02 15:00:00,5786.800,IC1806.CFE,5782.400,5785.800,12443.000,6.000
5827.800,2018-05-02 15:00:00,5827.800,IC1805.CFE,5825.000,5826.600,18711.000,54.000
3758.800,2018-05-02 15:00:00,3759.200,IF1805.CFE,3757.000,3757.800,22849.000,197.000
94.375,2018-05-02 15:00:00,94.385,T1806.CFE,94.370,94.385,41650.000,106.000
2626.000,2018-05-02 15:00:00,2626.000,IH1812.CFE,2626.000,2626.000,241.000,0.000
97.540,2018-05-02 15:00:00,97.545,TF1806.CFE,97.540,97.540,17512.000,44.000
97.550,2018-05-02 15:01:00,97.550,TF1809.CFE,97.520,97.520,1611.000,16.000
94.410,2018-05-02 15:01:00,94.410,T1812.CFE,94.410,94.410,52.000,0.000
97.535,2018-05-02 15:01:00,97.540,TF1806.CFE,97.525,97.535,17500.000,56.000
94.380,2018-05-02 15:01:00,94.385,T1806.CFE,94.365,94.370,41594.000,171.000
98.045,2018-05-02 15:01:00,98.045,TF1812.CFE,98.045,98.045,25.000,0.000
94.390,2018-05-02 15:15:00,94.390,T1806.CFE,94.380,94.380,41180.000,363.000
94.400,2018-05-02 15:15:00,94.415,T1809.CFE,94.400,94.415,5229.000,7.000
94.475,2018-05-02 15:15:00,94.475,T1812.CFE,94.475,94.475,52.000,0.000
97.565,2018-05-02 15:15:00,97.565,TF1809.CFE,97.540,97.540,1645.000,11.000
94.500,2018-05-03 09:16:00,94.500,T1809.CFE,94.465,94.500,5207.000,52.000
94.570,2018-05-03 09:16:00,94.570,T1812.CFE,94.570,94.570,52.000,0.000
97.595,2018-05-03 09:16:00,97.620,TF1806.CFE,97.595,97.595,17347.000,107.000
98.045,2018-05-03 09:16:00,98.045,TF1812.CFE,98.045,98.045,25.000,0.000
94.465,2018-05-03 09:16:00,94.500,T1806.CFE,94.450,94.450,41205.000,601.000
97.605,2018-05-03 09:16:00,97.605,TF1809.CFE,97.605,97.605,1650.000,5.000
94.570,2018-05-03 09:17:00,94.570,T1812.CFE,94.570,94.570,52.000,0.000
94.510,2018-05-03 09:17:00,94.510,T1809.CFE,94.500,94.500,5191.000,43.000
97.605,2018-05-03 09:17:00,97.605,TF1809.CFE,97.605,97.605,1650.000,0.000
